Cell_type	Sample	MCP_estimate
Neutrophils	N1098	0.8092113962454349
Endothelial cells	N1098	-0.008324668063271375
Fibroblasts	N1098	0.052526138373953486
T cells	N1099	0.2158049061865542
CD8 T cells	N1099	-0.0864275895195027
Cytotoxic lymphocytes	N1099	0.010346434584250637
NK cells	N1099	0.015399555584132725
B lineage	N1099	0.02197396833522993
Monocytic lineage	N1099	0.47689154922379934
Myeloid dendritic cells	N1099	-0.058532330532817325
Neutrophils	N1099	0.7087134393716052
Endothelial cells	N1099	-0.01806744870190675
Fibroblasts	N1099	-0.012441720246657472
T cells	N1100	0.0708312443181836
CD8 T cells	N1100	-0.130061372828597
Cytotoxic lymphocytes	N1100	-0.058572937801498935
NK cells	N1100	-0.017161162680122806
B lineage	N1100	0.3734245409224664
Monocytic lineage	N1100	0.6614977095312101
Myeloid dendritic cells	N1100	-0.08848842121983769
Neutrophils	N1100	1.2395424400599424
Endothelial cells	N1100	-0.04806148844435088
Fibroblasts	N1100	0.472750258273295
T cells	N1101	0.11059833716547202
CD8 T cells	N1101	-0.127990690859863
Cytotoxic lymphocytes	N1101	-0.025169020116974687
NK cells	N1101	-0.04869028727081414
B lineage	N1101	0.14057813414951256
Monocytic lineage	N1101	0.5019484397022722
Myeloid dendritic cells	N1101	-0.10929488305214392
Neutrophils	N1101	0.7716295443561875
Endothelial cells	N1101	-0.030322848719598977
Fibroblasts	N1101	0.01545255756860689
T cells	N1102	0.14113569459148637
CD8 T cells	N1102	-0.0899506338664723
Cytotoxic lymphocytes	N1102	-0.033713799672650105
NK cells	N1102	-0.056821863852393996
B lineage	N1102	-0.0058612588926332445
Monocytic lineage	N1102	0.508320898153778
Myeloid dendritic cells	N1102	-0.09416259288717171
Neutrophils	N1102	0.9548805784980666
Endothelial cells	N1102	0.022184505126323296
Fibroblasts	N1102	0.08466323412433761
T cells	N1103	0.07304094697740231
CD8 T cells	N1103	-0.104051986786828
Cytotoxic lymphocytes	N1103	-0.09725918271303387
NK cells	N1103	-0.08506903086608247
B lineage	N1103	-0.019820978374334323
Monocytic lineage	N1103	0.36350975563455357
Myeloid dendritic cells	N1103	-0.1008044777008035
Neutrophils	N1103	0.6462850438734444
Endothelial cells	N1103	0.006146357553915901
Fibroblasts	N1103	0.12535716884306675
T cells	N1104	0.25754960489966955
CD8 T cells	N1104	-0.0693796662812269
Cytotoxic lymphocytes	N1104	-0.06660639072010659
NK cells	N1104	-0.018478365712849575
B lineage	N1104	-0.00637870295394938
Monocytic lineage	N1104	0.6573090125953334
Myeloid dendritic cells	N1104	-0.02271644765215922
Neutrophils	N1104	0.8537206678001722
Endothelial cells	N1104	-0.004858366606588633
Fibroblasts	N1104	0.21838802606864047
T cells	N1105	0.48748169390802176
CD8 T cells	N1105	0.34218744619499
Cytotoxic lymphocytes	N1105	0.39006474844894645
NK cells	N1105	0.06955192842135612
B lineage	N1105	-0.04838928363403467
Monocytic lineage	N1105	0.7622607825103505
Myeloid dendritic cells	N1105	0.012971023895494394
Neutrophils	N1105	0.6610937510743701
Endothelial cells	N1105	-0.045756087659923596
Fibroblasts	N1105	-9.049517418720844e-4
T cells	N1106	0.07960392035604702
CD8 T cells	N1106	-0.0785058711312852
Cytotoxic lymphocytes	N1106	0.030656990138572333
NK cells	N1106	-0.14546779550422553
B lineage	N1106	-0.020453381602463478
Monocytic lineage	N1106	0.18879863638300357
Myeloid dendritic cells	N1106	-0.15965482463799535
Neutrophils	N1106	0.6143299268942296
Endothelial cells	N1106	-0.022621509096620192
Fibroblasts	N1106	0.02429626253891041
T cells	N1107	0.09971786064907322
CD8 T cells	N1107	-0.136640338177406
Cytotoxic lymphocytes	N1107	-0.03711658698268649
NK cells	N1107	-0.0649598113025555
B lineage	N1107	0.05812834440200257
Monocytic lineage	N1107	0.5444266055471277
Myeloid dendritic cells	N1107	-0.08011823774601276
Neutrophils	N1107	1.1051043556588078
Endothelial cells	N1107	0.031645018948061314
Fibroblasts	N1107	0.11199320352360514
T cells	N1108	0.17398837297592717
CD8 T cells	N1108	0.0058210285509013
Cytotoxic lymphocytes	N1108	-0.07218074006674953
NK cells	N1108	0.020949193070146293
B lineage	N1108	0.014907546654782756
Monocytic lineage	N1108	0.7517766002213394
Myeloid dendritic cells	N1108	-0.004172024557832855
Neutrophils	N1108	1.4778263774608336
Endothelial cells	N1108	-0.0472117590651463
Fibroblasts	N1108	-0.004590686053936421
T cells	N1110	0.4682211016820254
CD8 T cells	N1110	0.238563651535805
Cytotoxic lymphocytes	N1110	0.32042657822306064
NK cells	N1110	0.06382049164459982
B lineage	N1110	0.07843642627527656
Monocytic lineage	N1110	0.8114506459765248
Myeloid dendritic cells	N1110	-0.08713202428279526
Neutrophils	N1110	1.0035667877322478
Endothelial cells	N1110	-0.034979402704551237
Fibroblasts	N1110	0.07179058091163243
